event,eventLabel,date
http://www.wikidata.org/entity/Q112842877,Tagung Digitale Bibliothek 2022,2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q112518044,WikiArabia 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q112518044,WikiArabia 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q113776628,Q113776628,2022-09-18T00:00:00Z
http://www.wikidata.org/entity/Q113463846,Wiki Loves Fashion 2022,2022-09-19T00:00:00Z
http://www.wikidata.org/entity/Q109324315,ItWikiCon 2022,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q114351244,Wikibooks Writing Contest 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114438123,Summer reception with Markus Söder at Untreusee 2022,2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q52700,Extreme Rules,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q114044340,Q114044340,2022-09-10T00:00:00Z
http://www.wikidata.org/entity/Q114044340,Q114044340,2022-09-10T00:00:00Z
http://www.wikidata.org/entity/Q114011015,ONE 161,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q114302880,2022 Nord Stream 2 pipe A gas leak,2022-09-27T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-27T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-27T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q113014054,2022 Skate America,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q112518044,WikiArabia 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q112518044,WikiArabia 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114091575,ShushaChess (2022),2022-09-24T00:00:00Z
http://www.wikidata.org/entity/Q114356694,Super High Roller Bowl VII,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114267557,2022 Berlin Marathon Inline Skating,2022-09-24T00:00:00Z
http://www.wikidata.org/entity/Q114048919,2022 Zubiri Pamplona Puente,2022-09-17T00:00:00Z
http://www.wikidata.org/entity/Q114120537,2022 UCI Mountain Bike Marathon World Championships,2022-09-17T00:00:00Z
http://www.wikidata.org/entity/Q113990093,Q113990093,2022-09-11T00:00:00Z
http://www.wikidata.org/entity/Q110783487,2022 Swedish municipal election,2022-09-11T00:00:00Z
http://www.wikidata.org/entity/Q66451428,Q66451428,2022-10-02T00:00:00Z
http://www.wikidata.org/entity/Q66451428,Q66451428,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q66451428,Q66451428,2022-09-25T00:00:00Z
http://www.wikidata.org/entity/Q110825707,Q110825707,2022-10-09T00:00:00Z
http://www.wikidata.org/entity/Q114492886,2022 Crimean Bridge explosion,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q114492886,2022 Crimean Bridge explosion,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q114492886,2022 Crimean Bridge explosion,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q114492886,2022 Crimean Bridge explosion,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q114036116,Wikimeetup in Rostov Oblast 2022-09-14/15,2022-09-14T00:00:00Z
http://www.wikidata.org/entity/Q113997369,WikiExpedition to the plant Rostselmash 2022,2022-09-15T00:00:00Z
http://www.wikidata.org/entity/Q113997369,WikiExpedition to the plant Rostselmash 2022,2022-09-15T00:00:00Z
http://www.wikidata.org/entity/Q113588552,WikiCamp Azerbaijan 2022,2022-09-24T00:00:00Z
http://www.wikidata.org/entity/Q114324062,Russian attack on civilian convoy in Zaporizhzhia,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q114020817,Bombardment of Sotk (2022),2022-09-13T00:00:00Z
http://www.wikidata.org/entity/Q113608142,"Négociation collective, accord collectif et sanction",2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q113606739,La lutte contre les mafias,2022-09-13T00:00:00Z
http://www.wikidata.org/entity/Q114051466,death of Mahsa Amini,2022-09-16T00:00:00Z
http://www.wikidata.org/entity/Q114051466,death of Mahsa Amini,2022-09-16T00:00:00Z
http://www.wikidata.org/entity/Q114323885,September 2022 Kabul school bombing,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q114323885,September 2022 Kabul school bombing,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q114241005,2022 Mersin attack,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q114241005,2022 Mersin attack,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q114098738,09/28/22 Select Committee Hearing,2022-09-28T00:00:00Z
http://www.wikidata.org/entity/Q114205041,Bounce House Cup,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q114044340,Q114044340,2022-09-10T00:00:00Z
http://www.wikidata.org/entity/Q114044340,Q114044340,2022-09-10T00:00:00Z
http://www.wikidata.org/entity/Q113456780,2022 League of Legends World Championship,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q113456780,2022 League of Legends World Championship,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q114241005,2022 Mersin attack,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q114241005,2022 Mersin attack,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q114436313,resignation of Ueli Maurer,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q114051466,death of Mahsa Amini,2022-09-16T00:00:00Z
http://www.wikidata.org/entity/Q114051466,death of Mahsa Amini,2022-09-16T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114323885,September 2022 Kabul school bombing,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q114323885,September 2022 Kabul school bombing,2022-09-30T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-27T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-27T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q114245504,2022 Nord Stream gas leaks,2022-09-26T00:00:00Z
http://www.wikidata.org/entity/Q113714028,2022 European Sambo Championships,2022-09-14T00:00:00Z
http://www.wikidata.org/entity/Q114441975,"Guter Chef, Schlechter Chef: Erfolgsfaktoren von Führung",2022-10-05T00:00:00Z
http://www.wikidata.org/entity/Q114441975,"Guter Chef, Schlechter Chef: Erfolgsfaktoren von Führung",2022-10-05T00:00:00Z
http://www.wikidata.org/entity/Q114282356,Art and Artificial Intelligence: Implications for the Digital Transformation,2022-09-28T00:00:00Z
http://www.wikidata.org/entity/Q114282356,Art and Artificial Intelligence: Implications for the Digital Transformation,2022-09-28T00:00:00Z
http://www.wikidata.org/entity/Q114281764,Stabilität in Zeiten des Wandels,2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q114281764,Stabilität in Zeiten des Wandels,2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114350394,Tragedi Stadion Kanjuruhan 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q113365202,WikiCon 2022,2022-10-07T00:00:00Z
http://www.wikidata.org/entity/Q113365202,WikiCon 2022,2022-10-07T00:00:00Z
http://www.wikidata.org/entity/Q112262652,Wikidata Trainings For Turkic Wikimedians 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114182020,2022 annexation referendum in Russian-occupied Kherson Oblast,2022-09-23T00:00:00Z
http://www.wikidata.org/entity/Q111778863,2022 Cuban referendum,2022-09-25T00:00:00Z
http://www.wikidata.org/entity/Q114043581,DrupalCon Prague 2022,2022-09-20T00:00:00Z
http://www.wikidata.org/entity/Q114043581,DrupalCon Prague 2022,2022-09-20T00:00:00Z
http://www.wikidata.org/entity/Q112957772,2022 Kuwaiti general election,2022-09-29T00:00:00Z
http://www.wikidata.org/entity/Q113353028,Q113353028,2022-10-02T00:00:00Z
http://www.wikidata.org/entity/Q113191662,2022 Maranhão gubernatorial election,2022-10-02T00:00:00Z
http://www.wikidata.org/entity/Q112843558,Q112843558,2022-09-11T00:00:00Z
http://www.wikidata.org/entity/Q109918108,2022 Auckland mayoral election,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q110550841,2022 Sicilian regional election,2022-09-25T00:00:00Z
http://www.wikidata.org/entity/Q109905327,2022 Wellington City mayoral election,2022-10-08T00:00:00Z
http://www.wikidata.org/entity/Q109537757,2022 Invercargill mayoral election,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q114135227,Ukrainian Wikiconference 2022,2022-10-01T00:00:00Z
http://www.wikidata.org/entity/Q113365202,WikiCon 2022,2022-10-07T00:00:00Z
http://www.wikidata.org/entity/Q113365202,WikiCon 2022,2022-10-07T00:00:00Z
http://www.wikidata.org/entity/Q113997369,WikiExpedition to the plant Rostselmash 2022,2022-09-15T00:00:00Z
http://www.wikidata.org/entity/Q113997369,WikiExpedition to the plant Rostselmash 2022,2022-09-15T00:00:00Z
http://www.wikidata.org/entity/Q114417023,CAA JCM CAA DE/NL/FL 2022,2022-10-05T00:00:00Z
http://www.wikidata.org/entity/Q114338132,22nd Conference Information Technologies – Applications and Theory (ITAT 2022),2022-09-23T00:00:00Z
http://www.wikidata.org/entity/Q114338127,Annual Conference of the Spanish Association for Natural Language Processing: Projects and Demonstrations (SEPLN-PD 2022),2022-09-21T00:00:00Z
http://www.wikidata.org/entity/Q114133983,ARCHEO.FOSS XVI | 2022,2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q114098296,Workshop on standards and tooling for whole brain cell type taxonomies,2022-09-22T00:00:00Z
http://www.wikidata.org/entity/Q114047870,34th Deutsche Orientalistentag,2022-09-12T00:00:00Z
http://www.wikidata.org/entity/Q113728722,16th ACM Conference on Recommender Systems,2022-09-18T00:00:00Z
http://www.wikidata.org/entity/Q110984844,18th International Conference on Semantic Systems,2022-09-12T00:00:00Z
http://www.wikidata.org/entity/Q112064818,"15th Brazilian Symposium on Bioinformatics BSB 2022 September, 21-23, Buzios, RJ",2022-09-21T00:00:00Z
http://www.wikidata.org/entity/Q109453896,Q109453896,2022-09-19T00:00:00Z
http://www.wikidata.org/entity/Q50231578,2022 state elections in Lower Saxony,2022-10-09T00:00:00Z
http://www.wikidata.org/entity/Q114441975,"Guter Chef, Schlechter Chef: Erfolgsfaktoren von Führung",2022-10-05T00:00:00Z
http://www.wikidata.org/entity/Q114441975,"Guter Chef, Schlechter Chef: Erfolgsfaktoren von Führung",2022-10-05T00:00:00Z
http://www.wikidata.org/entity/Q114282356,Art and Artificial Intelligence: Implications for the Digital Transformation,2022-09-28T00:00:00Z
http://www.wikidata.org/entity/Q114282356,Art and Artificial Intelligence: Implications for the Digital Transformation,2022-09-28T00:00:00Z
http://www.wikidata.org/entity/Q114281764,Stabilität in Zeiten des Wandels,2022-09-22T00:00:00Z
